,EX_arg_L_m,EX_chol_m,EX_co2_m,EX_cys_L_m,EX_gal_m,EX_h_m,EX_hco3_m,EX_his_L_m,EX_ile_L_m,EX_inost_m,EX_leu_L_m,EX_lys_L_m,EX_met_L_m,EX_nh4_m,EX_o2_m,EX_phe_L_m,EX_pi_m,EX_thr_L_m,EX_trp_L_m,EX_tyr_L_m,EX_val_L_m,EX_h2o_m,EX_acac_m,EX_for_m,EX_ser_L_m,EX_urea_m
com_0.4273_0.4536_0.1191,0.00951852751293508,0.004555677592102695,-0.2261218569050616,0.0012338900651576168,0.111,,-0.01322072320270351,0.04859629504512995,0.007579636895006713,0.0006177266296406517,0.014453981794254361,0.015687845364592376,0.00405423670887097,-0.010671498008933508,0.12362789559531571,0.006874609847411835,0.03289657263875467,0.008284663942603283,0.0003525400186140821,0.00423042723373062,0.009342336988073737,-0.20456584256844323,,,,
com_0.0155_0.1524_0.8321,0.009518527512921149,0.004555677592095513,-0.2261218569045589,0.001233890065135551,0.111,,-0.013220723202653772,0.048596295044869356,0.007579636894993981,0.0006177266296341597,0.01445398179423707,0.015687845364578033,0.0040542367088624185,-0.010671498008351597,0.12362789559501391,0.00687460984740765,0.032896572638594475,0.008284663942592136,0.00035254001860487863,0.004230427233729718,0.009342336988065674,-0.2045658425690715,,,,
com_0.5852_0.4119_0.0029,0.008651821957471119,0.004140862267709119,-0.21207449391746458,0.0011215387195223567,0.10359992087246736,,-0.0023171065565801285,0.04093810991906048,0.0068894762166452125,0.0005614797888385348,0.01313788050624608,0.014259395143446079,0.0036850798751054733,,0.11244653806632644,0.006248645113019264,0.02990118892809119,0.00753030732027112,0.0003204396341481652,0.003845227445157372,0.008491674387410903,-0.21188087189302776,,,,
com_0.1062_0.4532_0.4407,0.009518527512937145,0.004555677592108745,-0.22612185690520015,0.0012338900651442941,0.111,,-0.013220723202880258,0.04859629504498175,0.007579636895001729,0.000617726629640777,0.01445398179426679,0.01568784536459607,0.00405423670887183,-0.010671498008984724,0.12362789559522339,0.00687460984741438,0.03289657263871438,0.008284663942607864,0.0003525400186167473,0.004230427233729772,0.009342336988079203,-0.20456584256811894,,,,
com_0.0081_0.5206_0.4712,0.009518527512934966,0.004555677592101368,-0.22612185690510067,0.0012338900651522877,0.111,,-0.013220723202659879,0.04859629504515705,0.00757963689500842,0.0006177266296402484,0.014453981794241925,0.015687845364585343,0.004054236708867664,-0.010671498008884759,0.12362789559531549,0.00687460984741195,0.032896572638708405,0.008284663942598193,0.0003525400186127362,0.004230427233730529,0.009342336988072101,-0.20456584256853697,,,,
com_0.1419_0.3597_0.4983,0.009518527512935786,0.004555677592099424,-0.22612185690544528,0.0012338900651442941,0.111,,-0.013220723202346907,0.04859629504508287,0.00757963689499761,0.0006177266296396005,0.014453981794264381,0.01568784536459406,0.004054236708872702,-0.010671498008539611,0.12362789559545259,0.0068746098474095005,0.03289657263861382,0.008284663942599881,0.00035254001861390706,0.004230427233734261,0.009342336988074226,-0.20456584256978738,,,,
com_0.1644_0.5839_0.2518,0.009518527512934695,0.00455567759210601,-0.22612185690508735,0.001233890065153176,0.111,,-0.01322072320276213,0.04859629504507549,0.007579636895008992,0.000617726629637696,0.014453981794263788,0.01568784536459606,0.004054236708873917,-0.010671498008829798,0.12362789559529554,0.006874609847411983,0.03289657263863922,0.008284663942606001,0.00035254001861422305,0.004230427233732083,0.00934233698807653,-0.2045658425684791,,,,
com_0.1522_0.1018_0.746,0.00951852751293815,0.004555677592112901,-0.22612185690486164,0.0012338900651427398,0.111,,-0.013220723202990836,0.04859629504510838,0.007579636895002842,0.0006177266296374077,0.014453981794258455,0.015687845364591183,0.004054236708866494,-0.0106714980088428,0.12362789559538125,0.006874609847410861,0.032896572638788896,0.008284663942605422,0.00035254001860833437,0.004230427233728327,0.009342336988076315,-0.20456584256857213,,,,
com_0.3335_0.2976_0.369,0.009518527512935155,0.0045556775921003975,-0.22612185690502917,0.001233890065143406,0.111,,-0.01322072320264181,0.0485962950450585,0.007579636895008964,0.0006177266296344895,0.014453981794270394,0.015687845364598635,0.004054236708873559,-0.010671498008766767,0.12362789559531188,0.006874609847412324,0.032896572638670935,0.008284663942605606,0.0003525400186114432,0.004230427233732047,0.009342336988081911,-0.20456584256877441,,,,
com_0.3527_0.5428_0.1044,0.009518527512964602,0.004555677592117143,-0.22612185690419517,0.001233890065148957,0.111,,-0.01322072320497547,0.048596295046451944,0.007579636895031086,0.0006177266296399249,0.014453981794306656,0.015687845364642912,0.004054236708883556,-0.010671498011432492,0.1236278955957119,0.006874609847432341,0.032896572638844136,0.008284663942628348,0.000352540018614753,0.004230427233744792,0.009342336988103368,-0.2045658425627518,,,,
