compartments,abundance,growth_rate,reactions,metabolites,sample
B,0.34922680515605814,0.023282684252306386,872,713,com_0.1197_0.3492_0.531
C,0.5310470617645948,0.03540695805616882,1462,1193,com_0.1197_0.3492_0.531
medium,,,124,124,com_0.1197_0.3492_0.531
A,0.12235031747787747,0.008518459382621966,1431,1166,com_0.1224_0.4243_0.4533
B,0.4243128950101555,0.029544623982400174,872,713,com_0.1224_0.4243_0.4533
C,0.453336787511967,0.03156787405416838,1462,1193,com_0.1224_0.4243_0.4533
medium,,,124,124,com_0.1224_0.4243_0.4533
A,0.1293969955778279,0.008848914850160532,1431,1166,com_0.1294_0.3577_0.5129
B,0.35765516639004546,0.024460292582668883,872,713,com_0.1294_0.3577_0.5129
C,0.5129478380321266,0.035083307526650544,1462,1193,com_0.1294_0.3577_0.5129
medium,,,124,124,com_0.1294_0.3577_0.5129
A,0.10850870961384326,0.007382995512355112,1431,1166,com_0.1085_0.4273_0.4642
B,0.4272599964712496,0.029073955422769117,872,713,com_0.1085_0.4273_0.4642
C,0.4642312939149071,0.03159205883129174,1462,1193,com_0.1085_0.4273_0.4642
medium,,,124,124,com_0.1085_0.4273_0.4642
A,0.09857398129097529,0.006491057708997296,1431,1166,com_0.0986_0.3896_0.5118
B,0.3896269057447627,0.025659730383137982,872,713,com_0.0986_0.3896_0.5118
C,0.5117991129642621,0.03370796972203358,1462,1193,com_0.0986_0.3896_0.5118
medium,,,124,124,com_0.0986_0.3896_0.5118
A,0.10594943253696716,0.007029776697980529,1431,1166,com_0.1059_0.3785_0.5155
B,0.3785227616424476,0.025117671692144062,872,713,com_0.1059_0.3785_0.5155
C,0.5155278058205852,0.034211284532233675,1462,1193,com_0.1059_0.3785_0.5155
medium,,,124,124,com_0.1059_0.3785_0.5155
A,0.09779500939859403,0.006377403662723774,1431,1166,com_0.0978_0.3768_0.5254
B,0.3767620136410944,0.024572239695279177,872,713,com_0.0978_0.3768_0.5254
C,0.5254429769603116,0.03427149241185469,1462,1193,com_0.0978_0.3768_0.5254
medium,,,124,124,com_0.0978_0.3768_0.5254
A,0.12559107240326284,0.008587898495102943,1431,1166,com_0.1256_0.3674_0.507
B,0.3674130946349517,0.02512557719359801,872,713,com_0.1256_0.3674_0.507
C,0.5069958329617854,0.0346733625019844,1462,1193,com_0.1256_0.3674_0.507
medium,,,124,124,com_0.1256_0.3674_0.507
A,0.07983379758609141,0.005137418462123663,1431,1166,com_0.0798_0.4178_0.5024
B,0.4177798456988052,0.026888960346955336,872,713,com_0.0798_0.4178_0.5024
C,0.5023863567151033,0.032336615452721686,1462,1193,com_0.0798_0.4178_0.5024
medium,,,124,124,com_0.0798_0.4178_0.5024
A,0.12128248518623248,0.008233933483510583,1431,1166,com_0.1213_0.3688_0.5099
B,0.36876925814369654,0.025037984869443423,872,713,com_0.1213_0.3688_0.5099
C,0.5099482566700709,0.034625883123923555,1462,1193,com_0.1213_0.3688_0.5099
medium,,,124,124,com_0.1213_0.3688_0.5099
A,0.09942908806473386,0.006658133020003529,1431,1166,com_0.0994_0.4277_0.4729
B,0.4276925315967585,0.028643147422032406,872,713,com_0.0994_0.4277_0.4729
C,0.47287838033850765,0.03167158417606881,1462,1193,com_0.0994_0.4277_0.4729
medium,,,124,124,com_0.0994_0.4277_0.4729
A,0.12179523464300486,0.008474795298695445,1431,1166,com_0.1218_0.4267_0.4515
B,0.42672762373478584,0.029695202783630033,872,713,com_0.1218_0.4267_0.4515
C,0.45147714162220937,0.031419811649928756,1462,1193,com_0.1218_0.4267_0.4515
medium,,,124,124,com_0.1218_0.4267_0.4515
A,0.12919190165222894,0.009095302202774935,1431,1166,com_0.1292_0.424_0.4468
B,0.42403964928038296,0.029855304817557275,872,713,com_0.1292_0.424_0.4468
C,0.4467684490673881,0.03145792280949846,1462,1193,com_0.1292_0.424_0.4468
medium,,,124,124,com_0.1292_0.424_0.4468
A,0.08931726639131306,0.00585062351513262,1431,1166,com_0.0893_0.4163_0.4943
B,0.4163329079092483,0.02727506350165574,872,713,com_0.0893_0.4163_0.4943
C,0.4943498256994387,0.032388423589280936,1462,1193,com_0.0893_0.4163_0.4943
medium,,,124,124,com_0.0893_0.4163_0.4943
A,0.11322441590070906,0.007739938803043678,1431,1166,com_0.1132_0.4124_0.4744
B,0.4123831260542029,0.028192853024472754,872,713,com_0.1132_0.4124_0.4744
C,0.474392458045088,0.032434480317977604,1462,1193,com_0.1132_0.4124_0.4744
medium,,,124,124,com_0.1132_0.4124_0.4744
A,0.11193099344756666,0.007603820483449286,1431,1166,com_0.1119_0.4015_0.4866
B,0.40146641648638964,0.027275448938335563,872,713,com_0.1119_0.4015_0.4866
C,0.4866025900660437,0.03306188697009063,1462,1193,com_0.1119_0.4015_0.4866
medium,,,124,124,com_0.1119_0.4015_0.4866
A,0.0940502687090401,0.006161177464861207,1431,1166,com_0.0941_0.3962_0.5097
B,0.39622120878172773,0.025959429839459876,872,713,com_0.0941_0.3962_0.5097
C,0.5097285225092322,0.033398450229832136,1462,1193,com_0.0941_0.3962_0.5097
medium,,,124,124,com_0.0941_0.3962_0.5097
A,0.11664005339229012,0.007883041913061111,1431,1166,com_0.1166_0.3752_0.5082
B,0.3752013832216517,0.02535995742628513,872,713,com_0.1166_0.3752_0.5082
C,0.5081585633860581,0.03434894436377214,1462,1193,com_0.1166_0.3752_0.5082
medium,,,124,124,com_0.1166_0.3752_0.5082
A,0.06216063522965133,0.0037197846614441823,1431,1166,com_0.0622_0.3633_0.5745
B,0.3633459989638318,0.02174800905044404,872,713,com_0.0622_0.3633_0.5745
C,0.5744933658065169,0.034388566832344605,1462,1193,com_0.0622_0.3633_0.5745
medium,,,124,124,com_0.0622_0.3633_0.5745
A,0.09706146902973478,0.006405744287809766,1431,1166,com_0.0971_0.3993_0.5037
B,0.3992717315823321,0.02635376164081738,872,713,com_0.0971_0.3993_0.5037
C,0.5036667993879331,0.03324661617892091,1462,1193,com_0.0971_0.3993_0.5037
medium,,,124,124,com_0.0971_0.3993_0.5037
A,0.10149926700554046,0.006801334428097119,1431,1166,com_0.1015_0.4162_0.4823
B,0.4161720716424092,0.027890251675743983,872,713,com_0.1015_0.4162_0.4823
C,0.4823286613520503,0.03232610194637144,1462,1193,com_0.1015_0.4162_0.4823
medium,,,124,124,com_0.1015_0.4162_0.4823
A,0.10444113623852383,0.006998812846134735,1431,1166,com_0.1044_0.4019_0.4936
B,0.4019400368751137,0.02693766741263346,872,713,com_0.1044_0.4019_0.4936
C,0.4936188268863625,0.03308420965228633,1462,1193,com_0.1044_0.4019_0.4936
medium,,,124,124,com_0.1044_0.4019_0.4936
A,0.1018836279414908,0.00682638387263449,1431,1166,com_0.1019_0.4137_0.4844
B,0.4137119204230441,0.027722493399018097,872,713,com_0.1019_0.4137_0.4844
C,0.48440445163546514,0.03246183424899814,1462,1193,com_0.1019_0.4137_0.4844
medium,,,124,124,com_0.1019_0.4137_0.4844
A,0.0846378591127809,0.005486022964118536,1431,1166,com_0.0846_0.4125_0.5029
B,0.4124764667954165,0.02673960834516703,872,713,com_0.0846_0.4125_0.5029
C,0.5028856740918026,0.03260282841290048,1462,1193,com_0.0846_0.4125_0.5029
medium,,,124,124,com_0.0846_0.4125_0.5029
A,0.057571332807794626,0.0034183048088199746,1431,1166,com_0.0576_0.3659_0.5765
B,0.3659170380777108,0.021731723929254564,872,713,com_0.0576_0.3659_0.5765
C,0.5765116291144946,0.03424124396270232,1462,1193,com_0.0576_0.3659_0.5765
medium,,,124,124,com_0.0576_0.3659_0.5765
A,0.08943041220792095,0.005794151222114671,1431,1166,com_0.0894_0.3928_0.5178
B,0.39275916006986394,0.02545005931280203,872,713,com_0.0894_0.3928_0.5178
C,0.5178104277222151,0.03355545113483418,1462,1193,com_0.0894_0.3928_0.5178
medium,,,124,124,com_0.0894_0.3928_0.5178
A,0.05205655719088418,0.0030699418854946673,1431,1166,com_0.0521_0.3721_0.5758
B,0.37210973986397505,0.02195065056107951,872,713,com_0.0521_0.3721_0.5758
C,0.5758337029451408,0.03397060328466969,1462,1193,com_0.0521_0.3721_0.5758
medium,,,124,124,com_0.0521_0.3721_0.5758
A,0.0661263722159117,0.0041567116114881566,1431,1166,com_0.0661_0.4274_0.5065
B,0.42736248128971543,0.026869519056939475,872,713,com_0.0661_0.4274_0.5065
C,0.5065111464943729,0.0318480398177698,1462,1193,com_0.0661_0.4274_0.5065
medium,,,124,124,com_0.0661_0.4274_0.5065
A,0.09286292267216821,0.006059821340841522,1431,1166,com_0.0929_0.3934_0.5137
B,0.3933928036402563,0.025674301068619582,872,713,com_0.0929_0.3934_0.5137
C,0.5137442736875756,0.03353119954608401,1462,1193,com_0.0929_0.3934_0.5137
medium,,,124,124,com_0.0929_0.3934_0.5137
A,0.09219596068924005,0.006009115262862023,1431,1166,com_0.0922_0.3936_0.5142
B,0.39360848968150863,0.02565774223554824,872,713,com_0.0922_0.3936_0.5142
C,0.5141955496292513,0.033520629348259244,1462,1193,com_0.0922_0.3936_0.5142
medium,,,124,124,com_0.0922_0.3936_0.5142
A,0.5981555909331331,0.0373271307300154,1431,1166,com_0.5982_0.2657_0.1361
B,0.26571248737708264,0.016580127063168824,872,713,com_0.5982_0.2657_0.1361
C,0.13613192168978427,0.008493974074355374,1462,1193,com_0.5982_0.2657_0.1361
medium,,,124,124,com_0.5982_0.2657_0.1361
A,0.5432458667784,0.036634573019182576,1431,1166,com_0.5432_0.3125_0.1443
B,0.31247608949424405,0.021070765197938043,872,713,com_0.5432_0.3125_0.1443
C,0.14427804372735592,0.009728362225677177,1462,1193,com_0.5432_0.3125_0.1443
medium,,,124,124,com_0.5432_0.3125_0.1443
A,0.5897819259688326,0.03792910496309004,1431,1166,com_0.5898_0.2342_0.176
B,0.23420107697641104,0.015060267340702737,872,713,com_0.5898_0.2342_0.176
C,0.17601699705475635,0.011318499822961497,1462,1193,com_0.5898_0.2342_0.176
medium,,,124,124,com_0.5898_0.2342_0.176
