compartments,abundance,growth_rate,reactions,metabolites,sample
A,0.07164725334572722,0.005167706302856472,1512,1217,com_0.0716_0.5254_0.4029
B,0.5254058072721959,0.002214057972059507,872,713,com_0.0716_0.5254_0.4029
C,0.4029469393820769,0.02907051986332023,1462,1193,com_0.0716_0.5254_0.4029
medium,,,126,126,com_0.0716_0.5254_0.4029
A,0.1590681759830734,0.008091764245719665,1512,1217,com_0.1591_0.3803_0.4607
B,0.38026805473768954,0.0030590135524394724,872,713,com_0.1591_0.3803_0.4607
C,0.4606637692792372,0.023437963417403902,1462,1193,com_0.1591_0.3803_0.4607
medium,,,126,126,com_0.1591_0.3803_0.4607
A,0.5058335146339946,0.01916219514328561,1512,1217,com_0.5058_0.2429_0.2513
B,0.24289481768144724,0.0047885118984412845,872,713,com_0.5058_0.2429_0.2513
C,0.25127166768455816,0.009517279303732099,1462,1193,com_0.5058_0.2429_0.2513
medium,,,126,126,com_0.5058_0.2429_0.2513
A,0.5213400446919152,0.01906519201349276,1512,1217,com_0.5213_0.2365_0.2422
B,0.23647990039624917,0.004919904606773099,872,713,com_0.5213_0.2365_0.2422
C,0.24218005491183567,0.008854987158952695,1462,1193,com_0.5213_0.2365_0.2422
medium,,,126,126,com_0.5213_0.2365_0.2422
A,0.7426316053419939,0.01660429987175816,1512,1217,com_0.7426_0.0659_0.1915
B,0.06589404129141804,0.0014722747726217328,872,713,com_0.7426_0.0659_0.1915
C,0.191474353366588,0.004280029496603006,1462,1193,com_0.7426_0.0659_0.1915
medium,,,126,126,com_0.7426_0.0659_0.1915
A,0.5914985922484146,0.01975414172285901,1512,1217,com_0.5915_0.2991_0.1094
B,0.299128528343011,0.003889559658740174,872,713,com_0.5915_0.2991_0.1094
C,0.10937287940857443,0.0036515689227216356,1462,1193,com_0.5915_0.2991_0.1094
medium,,,126,126,com_0.5915_0.2991_0.1094
A,0.2692343889962074,0.010618935113666185,1512,1217,com_0.2692_0.2472_0.4836
B,0.24717995928969416,0.004707077910571133,872,713,com_0.2692_0.2472_0.4836
C,0.48358565171409845,0.01907610372244851,1462,1193,com_0.2692_0.2472_0.4836
medium,,,126,126,com_0.2692_0.2472_0.4836
A,0.23130160520239637,0.008210733875549794,1512,1217,com_0.2313_0.2331_0.5356
B,0.23310033748652614,0.004990998538912674,872,713,com_0.2313_0.2331_0.5356
C,0.5355980573110775,0.019015842899493873,1462,1193,com_0.2313_0.2331_0.5356
medium,,,126,126,com_0.2313_0.2331_0.5356
A,0.5135649924899418,0.01709864696196568,1512,1217,com_0.5136_0.1542_0.3323
B,0.15418055760316202,0.005131999611773793,872,713,com_0.5136_0.1542_0.3323
C,0.3322544499068963,0.011060459310159932,1462,1193,com_0.5136_0.1542_0.3323
medium,,,126,126,com_0.5136_0.1542_0.3323
A,0.15080586119322767,0.0033343998366765996,1512,1217,com_0.1508_0.0962_0.753
B,0.09622506357189228,0.0021272267070651806,872,713,com_0.1508_0.0962_0.753
C,0.75296907523488,0.01665389553507948,1462,1193,com_0.1508_0.0962_0.753
medium,,,126,126,com_0.1508_0.0962_0.753
A,0.353873561608854,0.01392551451871414,1512,1217,com_0.3539_0.2197_0.4264
B,0.2197238609315928,0.005295505342749425,872,713,com_0.3539_0.2197_0.4264
C,0.4264025774595532,0.016782233417374563,1462,1193,com_0.3539_0.2197_0.4264
medium,,,126,126,com_0.3539_0.2197_0.4264
A,0.38584035302165975,0.016806364911950603,1512,1217,com_0.3858_0.2557_0.3585
B,0.2556519552542357,0.004550940823907962,872,713,com_0.3858_0.2557_0.3585
C,0.3585076917241045,0.015618569204826968,1462,1193,com_0.3858_0.2557_0.3585
medium,,,126,126,com_0.3858_0.2557_0.3585
A,0.5951789744094174,0.016730639037138176,1512,1217,com_0.5952_0.0699_0.3349
B,0.06992068095598247,0.0019644063918382794,872,713,com_0.5952_0.0699_0.3349
C,0.33490034463460017,0.009412742383627286,1462,1193,com_0.5952_0.0699_0.3349
medium,,,126,126,com_0.5952_0.0699_0.3349
A,0.1955343765776043,0.0039209509700196985,1512,1217,com_0.1955_0.0158_0.7887
B,0.01580603192906311,0.000316031119245743,872,713,com_0.1955_0.0158_0.7887
C,0.7886595914933326,0.015818906049345362,1462,1193,com_0.1955_0.0158_0.7887
medium,,,126,126,com_0.1955_0.0158_0.7887
A,0.21796107142246546,0.053697918851154915,1512,1217,com_0.218_0.7428_0.0392
B,0.7428199864647225,0.0015669092852241058,872,713,com_0.218_0.7428_0.0392
C,0.03921894211281211,0.00966134372169074,1462,1193,com_0.218_0.7428_0.0392
medium,,,126,126,com_0.218_0.7428_0.0392
A,0.6356715221052956,0.017996571602936957,1512,1217,com_0.6357_0.2028_0.1616
B,0.2027584521794804,0.005257275081978943,872,713,com_0.6357_0.2028_0.1616
C,0.16157002571522389,0.004589606638055388,1462,1193,com_0.6357_0.2028_0.1616
medium,,,126,126,com_0.6357_0.2028_0.1616
A,0.584954477224833,0.019643657171587794,1512,1217,com_0.585_0.2821_0.1329
B,0.28211239323490506,0.004124212646610963,872,713,com_0.585_0.2821_0.1329
C,0.132933129540262,0.004462929406729311,1462,1193,com_0.585_0.2821_0.1329
medium,,,126,126,com_0.585_0.2821_0.1329
A,0.16629731062905886,0.004618611403791033,1512,1217,com_0.1663_0.1914_0.6423
B,0.1913559158111085,0.005314720065609339,872,713,com_0.1663_0.1914_0.6423
C,0.6423467735598326,0.017844476808042763,1462,1193,com_0.1663_0.1914_0.6423
medium,,,126,126,com_0.1663_0.1914_0.6423
A,0.09355658574516676,0.02193335768535322,1512,1217,com_0.0936_0.6996_0.2069
B,0.699592608726384,0.0016635113211778563,872,713,com_0.0936_0.6996_0.2069
C,0.2068508055284493,0.048496874714876306,1462,1193,com_0.0936_0.6996_0.2069
medium,,,126,126,com_0.0936_0.6996_0.2069
A,0.3311024256490695,0.010849494051450304,1512,1217,com_0.3311_0.1462_0.5227
B,0.14616315329392057,0.0047888846415554236,872,713,com_0.3311_0.1462_0.5227
C,0.52273442105701,0.01713136775768926,1462,1193,com_0.3311_0.1462_0.5227
medium,,,126,126,com_0.3311_0.1462_0.5227
A,0.11228889869777182,0.011256105626390433,1512,1217,com_0.1123_0.5592_0.3285
B,0.5591920776414395,0.0020801321524735426,872,713,com_0.1123_0.5592_0.3285
C,0.3285190236607887,0.032936536335339946,1462,1193,com_0.1123_0.5592_0.3285
medium,,,126,126,com_0.1123_0.5592_0.3285
A,0.3568410092106928,0.010635771055723523,1512,1217,com_0.3568_0.0868_0.5564
B,0.08678211538093407,0.002585814490582884,872,713,com_0.3568_0.0868_0.5564
C,0.5563768754083731,0.016585387644973304,1462,1193,com_0.3568_0.0868_0.5564
medium,,,126,126,com_0.3568_0.0868_0.5564
A,0.4294765649514772,0.012996588982500798,1512,1217,com_0.4295_0.0725_0.498
B,0.07250337435647942,0.0021932269663006757,872,713,com_0.4295_0.0725_0.498
C,0.49802006069204335,0.0150730095603602,1462,1193,com_0.4295_0.0725_0.498
medium,,,126,126,com_0.4295_0.0725_0.498
A,0.15010495262978707,0.00486737329360898,1512,1217,com_0.1501_0.2583_0.5916
B,0.2582522222528797,0.004505041541476302,872,713,com_0.1501_0.2583_0.5916
C,0.5916428251173333,0.019189540674077493,1462,1193,com_0.1501_0.2583_0.5916
medium,,,126,126,com_0.1501_0.2583_0.5916
A,0.10832111874500486,0.027486095051359176,1512,1217,com_0.1083_0.7022_0.1894
B,0.7022440802088663,0.0016577050074346174,872,713,com_0.1083_0.7022_0.1894
C,0.18943480104612875,0.04806914959508976,1462,1193,com_0.1083_0.7022_0.1894
medium,,,126,126,com_0.1083_0.7022_0.1894
A,0.4054548809599211,0.021120423375235085,1512,1217,com_0.4055_0.3346_0.26
B,0.3345521407761896,0.0034774812279107633,872,713,com_0.4055_0.3346_0.26
C,0.25999297826388934,0.013541251663222861,1462,1193,com_0.4055_0.3346_0.26
medium,,,126,126,com_0.4055_0.3346_0.26
A,0.27038692006125287,0.014438779802877505,1512,1217,com_0.2704_0.3383_0.3914
B,0.3382575098532067,0.0034393767704136466,872,713,com_0.2704_0.3383_0.3914
C,0.39135557008554045,0.020901595089715393,1462,1193,com_0.2704_0.3383_0.3914
