,EX_arg_L_m,EX_chol_m,EX_co2_m,EX_cys_L_m,EX_gal_m,EX_h_m,EX_hco3_m,EX_his_L_m,EX_ile_L_m,EX_inost_m,EX_leu_L_m,EX_lys_L_m,EX_met_L_m,EX_nh4_m,EX_o2_m,EX_phe_L_m,EX_pi_m,EX_thr_L_m,EX_trp_L_m,EX_tyr_L_m,EX_val_L_m,EX_h2o_m
com_0.0893_0.4163_0.4943,0.009518527512937712,0.0045556775921015424,-0.22612185690511222,0.0012338900651442941,0.111,,-0.013220723202676865,0.04859629504505951,0.0075796368950049086,0.0006177266296373963,0.014453981794258096,0.015687845364593143,0.004054236708868544,-0.01067149800854175,0.12362789559541787,0.006874609847411621,0.032896572639156324,0.00828466394260522,0.0003525400186101239,0.004230427233729652,0.009342336988076603,-0.20456584256930288
com_0.1132_0.4124_0.4744,0.009518527512941712,0.004555677592105706,-0.22612185690474718,0.0012338900651469586,0.111,,-0.013220723203178686,0.04859629504525295,0.0075796368950085975,0.0006177266296477211,0.014453981794269485,0.015687845364598055,0.0040542367088764256,-0.01067149800890967,0.12362789559546745,0.006874609847417538,0.03289657263900158,0.008284663942606399,0.0003525400186118688,0.004230427233729972,0.009342336988081424,-0.20456584256828103
com_0.1119_0.4015_0.4866,0.009518527512938326,0.0045556775921091475,-0.021556014337344998,0.0012338900651567286,0.111,-0.2045658425676784,-0.21778656577073807,0.048596295045243806,0.007579636895012363,0.0006177266296388836,0.014453981794274373,0.015687845364590815,0.004054236708875772,-0.01067149800908488,0.12362789559534576,0.006874609847415513,0.03289657263880793,0.008284663942602296,0.0003525400186136591,0.00423042723373344,0.009342336988080657,
com_0.0941_0.3962_0.5097,0.009518527512934907,0.004555677592106406,-0.22612185690504916,0.0012338900651513995,0.111,,-0.013220723203189344,0.04859629504504842,0.007579636895016722,0.0006177266296416364,0.014453981794265394,0.01568784536459912,0.004054236708876317,-0.010671498009015203,0.12362789559526938,0.006874609847411099,0.0328965726386518,0.00828466394260786,0.0003525400186125918,0.004230427233731542,0.009342336988079682,-0.20456584256781696
com_0.1166_0.3752_0.5082,0.009518527512955694,0.004555677592116765,-0.226121856904812,0.0012338900651469586,0.111,,-0.013220723202922002,0.04859629504513641,0.007579636895023318,0.0006177266296525202,0.014453981794251499,0.01568784536462743,0.004054236708879096,-0.010671498008687882,0.12362789559538724,0.006874609847428178,0.03289657263838474,0.00828466394262568,0.0003525400186158664,0.004230427233739361,0.00934233698809543,-0.20456584256884378
com_0.0622_0.3633_0.5745,0.009518527512929408,0.0045556775921003064,-0.22612185690487774,0.0012338900651451823,0.111,,-0.013220723203029472,0.04859629504518715,0.007579636895005525,0.0006177266296381629,0.014453981794267778,0.015687845364598083,0.004054236708868841,-0.010671498009057218,0.12362789559533915,0.0068746098474137445,0.03289657263881399,0.008284663942605469,0.00035254001860958635,0.004230427233728464,0.009342336988077949,-0.20456584256814359
com_0.0971_0.3993_0.5037,0.009518527512933733,0.004555677592104442,-0.22612185690508912,0.0012338900651407414,0.111,,-0.013220723202868712,0.04859629504519195,0.007579636895008404,0.0006177266296276635,0.014453981794260112,0.015687845364600866,0.0040542367088756805,-0.010671498009039888,0.12362789559539457,0.0068746098474136395,0.03289657263872973,0.00828466394260317,0.00035254001861470394,0.004230427233734646,0.009342336988074766,-0.20456584256822707
com_0.1015_0.4162_0.4823,0.00951852751293604,0.004555677592103471,-0.2261218569045358,0.0012338900651567286,0.111,,-0.013220723203126727,0.048596295045029075,0.007579636895009729,0.00061772662963333,0.0144539817942631,0.015687845364596577,0.004054236708875188,-0.010671498008839278,0.12362789559526122,0.006874609847416897,0.03289657263862892,0.008284663942602561,0.00035254001861619586,0.004230427233734227,0.009342336988077,-0.20456584256834243
com_0.1044_0.4019_0.4936,0.009518527512935124,0.004555677592105251,-0.22612185690510067,0.0012338900651460705,0.111,,-0.013220723202632456,0.04859629504503034,0.007579636895009145,0.000617726629637215,0.014453981794258018,0.015687845364597434,0.0040542367088719404,-0.010671498008837562,0.12362789559524262,0.006874609847417031,0.03289657263864032,0.008284663942608274,0.00035254001861231745,0.004230427233729317,0.009342336988077746,-0.20456584256842003
com_0.1019_0.4137_0.4844,0.009518527512927297,0.004555677592107054,-0.2261218569049337,0.001233890065143406,0.111,,-0.013220723203218654,0.04859629504527924,0.007579636895008565,0.0006177266296360125,0.014453981794262771,0.01568784536459553,0.00405423670887168,-0.010671498009258047,0.12362789559541827,0.006874609847416598,0.032896572638716697,0.008284663942607417,0.000352540018610935,0.004230427233728852,0.009342336988077009,-0.20456584256778232
com_0.0846_0.4125_0.5029,0.009518527512934416,0.004555677592104452,-0.22612185690519304,0.0012338900651505114,0.111,,-0.013220723202811424,0.048596295045143775,0.007579636895005275,0.0006177266296411614,0.01445398179426405,0.0156878453645965,0.004054236708873342,-0.010671498008982379,0.12362789559533523,0.0068746098474114095,0.03289657263869542,0.008284663942606286,0.00035254001861247857,0.004230427233732944,0.009342336988074814,-0.20456584256850907
com_0.0576_0.3659_0.5765,0.009518527512936635,0.004555677592100615,-0.22612185690584852,0.0012338900651469586,0.111,,-0.013220723202131968,0.04859629504494675,0.007579636895005753,0.0006177266296365303,0.014453981794262258,0.015687845364591613,0.004054236708874986,-0.010671498008883996,0.12362789559514183,0.006874609847412422,0.03289657263853948,0.008284663942599085,0.00035254001861635383,0.0042304272337322915,0.009342336988071137,-0.2045658425684913
com_0.0894_0.3928_0.5178,0.009518527512938527,0.004555677592101231,-0.2261218569050376,0.0012338900651496232,0.111,,-0.013220723202653328,0.048596295045025634,0.007579636895011599,0.0006177266296375765,0.014453981794266026,0.0156878453645979,0.0040542367088742095,-0.010671498008660307,0.12362789559537876,0.0068746098474091865,0.032896572638681836,0.008284663942606654,0.00035254001861079556,0.004230427233732443,0.009342336988072936,-0.20456584256914478
