,A,B,C,sample
B,0.0007181244911455761,-0.007054992846637241,0.0009219307636527743,com_0.3916_0.1056_0.5028
C,0.029723943892691444,0.008012211879345565,-0.03360076412220907,com_0.3916_0.1056_0.5028
A,-0.01696472581708716,0.0046747666461781495,0.004556477657086798,com_0.2155_0.3973_0.3872
B,0.013635373555499063,-0.031280358913993916,0.02450536814100083,com_0.2155_0.3973_0.3872
C,0.00780503738998467,0.01439129482710725,-0.030488849451659285,com_0.2155_0.3973_0.3872
A,-0.006671650433940796,0.0004810906899353033,0.0009124296148514885,com_0.1072_0.3082_0.5846
B,0.00179439509592633,-0.019178585087235828,0.009783038771165313,com_0.1072_0.3082_0.5846
C,0.016970370961963965,0.04878368655810682,-0.036373825909434894,com_0.1072_0.3082_0.5846
A,-0.027661626495453263,0.015263840900079508,0.01196055751425984,com_0.3339_0.3735_0.2927
B,0.019576101332963752,-0.030945583590247235,0.01716069062940729,com_0.3339_0.3735_0.2927
C,0.0035778629862330893,0.004002622844137573,-0.02424857771872901,com_0.3339_0.3735_0.2927
A,-0.019035585796067157,0.0009659633842509707,0.010197971958740365,com_0.3317_0.0578_0.6104
B,0.00013185043530546808,-0.003317904157608205,0.0002426231949093638,com_0.3317_0.0578_0.6104
C,0.04966269091432928,0.008656210998445282,-0.03502813344520949,com_0.3317_0.0578_0.6104
A,-0.02969985458040996,0.029937471804944195,0.003369285253415319,com_0.477_0.4656_0.0574
B,0.027935192447740426,-0.02899200929869869,0.003040415425422571,com_0.477_0.4656_0.0574
C,-0.0044912151993096935,-0.004384178832012593,-0.003894423967594812,com_0.477_0.4656_0.0574
A,-0.028631488119658526,0.026744983865250104,-0.0011162984653429948,com_0.5099_0.4788_0.0113
B,0.025189309028280402,-0.02688931510871363,-0.0011891990759033946,com_0.5099_0.4788_0.0113
C,-0.004159775006450511,-0.003906664295859501,-0.002382314986790997,com_0.5099_0.4788_0.0113
A,-0.03661640228553509,0.044954548255224526,0.0262213098898037,com_0.5101_0.3094_0.1805
B,0.011976357218625083,-0.022213516700753964,0.00423786516149011,com_0.5101_0.3094_0.1805
C,-0.0029644902315279706,-0.0017984222686222434,-0.012956809216735032,com_0.5101_0.3094_0.1805
A,-0.030969178372262124,0.03253177144124274,0.005677148590568089,com_0.4802_0.4426_0.0772
B,0.025647962233051033,-0.02854554042924534,0.004125570374646727,com_0.4802_0.4426_0.0772
C,-0.0045291158308392275,-0.004174668681991251,-0.004981507829492556,com_0.4802_0.4426_0.0772
A,-0.03019609801754931,0.02417761359927277,0.010323268335000454,com_0.3995_0.4208_0.1797
B,0.027869109688923397,-0.031808490562990496,0.01253484918022697,com_0.3995_0.4208_0.1797
C,-0.002333719544208107,-0.00245833405525403,-0.01358147208552785,com_0.3995_0.4208_0.1797
A,-0.00039955877067320976,-2.3207787803108254e-05,-3.5959310566983926e-05,com_0.0074_0.3893_0.6033
B,0.0001664030902421339,-0.021060909531549137,0.013590468049352815,com_0.0074_0.3893_0.6033
C,0.0006986828052481259,0.03682788287866397,-0.03263282919474024,com_0.0074_0.3893_0.6033
A,-0.037594308839088826,0.04781715808619718,0.03597148164109299,com_0.5324_0.2669_0.2007
